"Age";"Sex";"Cabin";"Life Boat";"Passenger Class";"Port of Embarkation";"PassengerID";"No of Siblings or Spouses on Board";"No of Parents or Children on Board";"Passenger Fare";"Survived"
"range40 [31.302 - 32.100]";"M";"unknown";"0";"Second";"Southampton";466;0;0;10.5;"No"
"range43 [33.697 - 34.495]";"M";"unknown";"0";"Second";"Southampton";468;1;0;26.0;"No"
"range44 [34.495 - 35.293]";"M";"unknown";"0";"Second";"Queenstown";472;0;0;12.35;"No"
"range72 [56.848 - 57.647]";"M";"unknown";"0";"Second";"Queenstown";474;0;0;12.35;"No"
"range39 [30.503 - 31.302]";"M";"unknown";"0";"Second";"Southampton";476;0;0;10.5;"No"
"range38 [29.705 - 30.503]";"M";"unknown";"0";"Second";"Southampton";478;1;1;26.0;"No"
"range32 [24.915 - 25.713]";"M";"unknown";"0";"Second";"Cherbourg";482;1;2;41.5792;"No"
"range45 [35.293 - 36.092]";"M";"D";"0";"Second";"Cherbourg";487;0;0;12.875;"No"
"range30 [23.318 - 24.117]";"M";"unknown";"0";"Second";"Southampton";488;0;0;10.5;"No"
"range77 [60.840 - 61.638]";"M";"unknown";"0";"Second";"Queenstown";489;0;0;12.35;"No"
"range63 [49.663 - 50.462]";"M";"unknown";"0";"Second";"Southampton";490;1;0;26.0;"No"
"range39 [30.503 - 31.302]";"M";"unknown";"0";"Second";"Cherbourg";495;1;1;37.0042;"No"
"range38 [29.705 - 30.503]";"M";"unknown";"0";"Second";"Southampton";498;0;0;13.0;"No"
"range50 [39.285 - 40.083]";"M";"unknown";"0";"Second";"Southampton";499;0;0;16.0;"No"
"range40 [31.302 - 32.100]";"M";"unknown";"0";"Second";"Southampton";500;0;0;13.5;"No"
"range38 [29.705 - 30.503]";"M";"unknown";"0";"Second";"Southampton";501;0;0;13.0;"No"
"range58 [45.672 - 46.470]";"M";"unknown";"0";"Second";"Southampton";502;0;0;26.0;"No"
"range49 [38.487 - 39.285]";"M";"unknown";"0";"Second";"Southampton";506;0;0;13.0;"No"
"range60 [47.268 - 48.067]";"M";"unknown";"0";"Second";"Southampton";507;0;0;13.0;"No"
"range88 [69.622 - 70.420]";"M";"unknown";"0";"Second";"Southampton";508;0;0;10.5;"No"
"range34 [26.512 - 27.310]";"M";"unknown";"0";"Second";"Southampton";509;0;0;13.0;"No"
"range68 [53.655 - 54.453]";"M";"unknown";"0";"Second";"Southampton";510;0;0;14.0;"No"
"range49 [38.487 - 39.285]";"M";"unknown";"0";"Second";"Southampton";511;0;0;26.0;"No"
"range20 [15.335 - 16.133]";"M";"unknown";"0";"Second";"Southampton";512;0;0;10.5;"No"
"range78 [61.638 - 62.437]";"M";"unknown";"0";"Second";"Queenstown";513;0;0;9.6875;"No"
"range41 [32.100 - 32.898]";"M";"unknown";"0";"Second";"Cherbourg";514;1;0;30.0708;"No"
"range46 [36.092 - 36.890]";"M";"F2";"0";"Second";"Southampton";518;0;2;26.0;"No"
"range33 [25.713 - 26.512]";"M";"F2";"0";"Second";"Southampton";519;0;0;13.0;"No"
"range24 [18.528 - 19.327]";"M";"unknown";"0";"Second";"Southampton";520;1;1;36.75;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"Second";"Southampton";521;0;0;13.5;"No"
"range49 [38.487 - 39.285]";"M";"unknown";"0";"Second";"Southampton";524;0;0;13.0;"No"
"range29 [22.520 - 23.318]";"M";"unknown";"0";"Second";"Southampton";527;0;0;10.5;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"Second";"Southampton";529;0;0;10.5;"No"
"range24 [18.528 - 19.327]";"M";"unknown";"0";"Second";"Southampton";532;0;0;10.5;"No"
"range52 [40.882 - 41.680]";"M";"unknown";"0";"Second";"Southampton";534;0;0;13.0;"No"
"range54 [42.478 - 43.277]";"M";"unknown";"0";"Second";"Southampton";537;0;1;21.0;"No"
"range43 [33.697 - 34.495]";"M";"unknown";"0";"Second";"Southampton";539;0;0;13.0;"No"
"range34 [26.512 - 27.310]";"M";"unknown";"0";"Second";"Cherbourg";541;0;0;15.0333;"No"
"range45 [35.293 - 36.092]";"M";"unknown";"0";"Second";"Southampton";545;0;0;10.5;"No"
"range43 [33.697 - 34.495]";"M";"unknown";"12";"Second";"Southampton";546;1;0;21.0;"No"
"range29 [22.520 - 23.318]";"M";"unknown";"0";"Second";"Cherbourg";549;0;0;15.0458;"No"
"range24 [18.528 - 19.327]";"M";"unknown";"0";"Second";"Southampton";554;0;0;10.5;"No"
"range33 [25.713 - 26.512]";"M";"unknown";"0";"Second";"Southampton";556;0;0;13.0;"No"
"range32 [24.915 - 25.713]";"M";"unknown";"0";"Second";"Southampton";557;0;0;13.0;"No"
"range34 [26.512 - 27.310]";"M";"unknown";"0";"Second";"Southampton";558;0;0;26.0;"No"
"range74 [58.445 - 59.243]";"M";"unknown";"0";"Second";"Southampton";563;0;0;13.5;"No"
"range44 [34.495 - 35.293]";"M";"unknown";"0";"Second";"Southampton";565;0;0;10.5;"No"
"range32 [24.915 - 25.713]";"M";"unknown";"0";"Second";"Southampton";567;0;0;13.0;"No"
"range52 [40.882 - 41.680]";"M";"unknown";"0";"Second";"Cherbourg";568;0;0;15.0458;"No"
"range32 [24.915 - 25.713]";"M";"unknown";"0";"Second";"Southampton";569;0;0;10.5;"No"
"range23 [17.730 - 18.528]";"M";"F";"0";"Second";"Southampton";570;0;0;13.0;"No"
"range18 [13.738 - 14.537]";"M";"unknown";"0";"Second";"Southampton";571;0;0;65.0;"No"
"range29 [22.520 - 23.318]";"M";"unknown";"0";"Second";"Southampton";573;0;0;13.0;"No"
"range37 [28.907 - 29.705]";"M";"unknown";"0";"Second";"Southampton";577;1;0;21.0;"No"
"range50 [39.285 - 40.083]";"M";"unknown";"0";"Second";"Southampton";579;0;0;13.0;"No"
"range38 [29.705 - 30.503]";"M";"unknown";"0";"Second";"Southampton";581;1;0;21.0;"No"
"range29 [22.520 - 23.318]";"M";"unknown";"0";"Second";"Southampton";582;1;0;10.5;"No"
"range34 [26.512 - 27.310]";"M";"unknown";"0";"Second";"Southampton";588;1;0;26.0;"No"
"range45 [35.293 - 36.092]";"M";"unknown";"0";"Second";"Southampton";595;1;2;27.75;"No"
"range83 [65.630 - 66.428]";"M";"unknown";"0";"Second";"Southampton";597;0;0;10.5;"No"
"range53 [41.680 - 42.478]";"M";"unknown";"0";"Third";"Southampton";603;0;0;7.55;"No"
"range17 [12.940 - 13.738]";"M";"unknown";"0";"Third";"Southampton";604;0;2;20.25;"No"
"range20 [15.335 - 16.133]";"M";"unknown";"0";"Third";"Southampton";605;1;1;20.25;"No"
"range38 [29.705 - 30.503]";"M";"unknown";"0";"Third";"Southampton";611;0;0;7.25;"No"
"range33 [25.713 - 26.512]";"M";"unknown";"0";"Third";"Southampton";612;0;0;8.05;"No"
"range33 [25.713 - 26.512]";"M";"unknown";"0";"Third";"Southampton";617;0;0;7.8875;"No"
"range25 [19.327 - 20.125]";"M";"unknown";"0";"Third";"Southampton";618;0;0;7.925;"No"
"range30 [23.318 - 24.117]";"M";"unknown";"0";"Third";"Southampton";619;0;0;7.05;"No"
"range32 [24.915 - 25.713]";"M";"unknown";"0";"Third";"Southampton";620;0;0;7.05;"No"
"range44 [34.495 - 35.293]";"M";"unknown";"0";"Third";"Southampton";621;0;0;8.05;"No"
"range23 [17.730 - 18.528]";"M";"unknown";"0";"Third";"Southampton";622;0;0;8.3;"No"
"range40 [31.302 - 32.100]";"M";"unknown";"0";"Third";"Southampton";623;0;0;22.525;"No"
"range5 [3.360 - 4.158]";"M";"unknown";"0";"Third";"Southampton";625;4;2;31.275;"No"
"range49 [38.487 - 39.285]";"M";"unknown";"0";"Third";"Southampton";632;1;5;31.275;"No"
"range33 [25.713 - 26.512]";"M";"unknown";"0";"Third";"Southampton";634;0;0;7.775;"No"
"range25 [19.327 - 20.125]";"M";"unknown";"0";"Third";"Southampton";636;0;0;7.8542;"No"
"range33 [25.713 - 26.512]";"M";"unknown";"0";"Third";"Southampton";637;0;0;7.8958;"No"
"range32 [24.915 - 25.713]";"M";"unknown";"0";"Third";"Southampton";638;1;0;17.8;"No"
"range30 [23.318 - 24.117]";"M";"unknown";"0";"Third";"Southampton";640;0;0;7.775;"No"
"range44 [34.495 - 35.293]";"M";"unknown";"0";"Third";"Southampton";641;0;0;7.05;"No"
"range7 [4.957 - 5.755]";"M";"unknown";"0";"Third";"Southampton";642;4;2;31.3875;"No"
"range12 [8.948 - 9.747]";"M";"unknown";"0";"Third";"Southampton";643;4;2;31.3875;"No"
"range17 [12.940 - 13.738]";"M";"unknown";"0";"Third";"Southampton";645;4;2;31.3875;"No"
"range50 [39.285 - 40.083]";"M";"unknown";"0";"Third";"Southampton";647;1;5;31.3875;"No"
"range27 [20.923 - 21.722]";"M";"unknown";"0";"Third";"Cherbourg";651;0;0;7.225;"No"
"range29 [22.520 - 23.318]";"M";"unknown";"0";"Third";"Southampton";652;0;0;7.05;"No"
"range38 [29.705 - 30.503]";"M";"unknown";"0";"Third";"Cherbourg";654;0;0;7.225;"No"
"range29 [22.520 - 23.318]";"M";"unknown";"0";"Third";"Southampton";655;0;0;7.8542;"No"
"range25 [19.327 - 20.125]";"M";"unknown";"0";"Third";"Cherbourg";657;0;0;7.225;"No"
"range40 [31.302 - 32.100]";"M";"unknown";"0";"Third";"Southampton";658;1;0;15.85;"No"
"range50 [39.285 - 40.083]";"M";"unknown";"0";"Third";"Cherbourg";665;0;0;7.225;"No"
"range33 [25.713 - 26.512]";"M";"unknown";"0";"Third";"Southampton";666;0;0;7.8958;"No"
"range28 [21.722 - 22.520]";"M";"unknown";"0";"Third";"Southampton";671;0;0;8.05;"No"
"range24 [18.528 - 19.327]";"M";"unknown";"0";"Third";"Southampton";672;0;0;8.05;"No"
"range33 [25.713 - 26.512]";"M";"unknown";"0";"Third";"Southampton";673;0;0;7.775;"No"
"range28 [21.722 - 22.520]";"M";"unknown";"0";"Third";"Southampton";674;0;0;9.35;"No"
"range25 [19.327 - 20.125]";"M";"unknown";"0";"Third";"Cherbourg";676;0;0;4.0125;"No"
"range27 [20.923 - 21.722]";"M";"unknown";"0";"Third";"Southampton";678;0;0;7.775;"No"
"range23 [17.730 - 18.528]";"M";"unknown";"0";"Third";"Southampton";679;0;0;7.75;"No"
"range33 [25.713 - 26.512]";"M";"unknown";"0";"Third";"Southampton";680;0;0;7.8958;"No"
"range8 [5.755 - 6.553]";"M";"unknown";"0";"Third";"Cherbourg";681;1;1;15.2458;"No"
"range50 [39.285 - 40.083]";"M";"unknown";"0";"Third";"Queenstown";686;1;1;15.5;"No"
"range27 [20.923 - 21.722]";"M";"unknown";"0";"Third";"Southampton";688;0;0;16.1;"No"
"range37 [28.907 - 29.705]";"M";"unknown";"0";"Third";"Southampton";691;1;0;7.0458;"No"
"range28 [21.722 - 22.520]";"M";"unknown";"0";"Third";"Southampton";692;1;0;7.25;"No"
"range28 [21.722 - 22.520]";"M";"unknown";"0";"Third";"Southampton";693;0;0;7.7958;"No"
"range44 [34.495 - 35.293]";"M";"unknown";"0";"Third";"Southampton";694;0;0;8.05;"No"
"range24 [18.528 - 19.327]";"M";"unknown";"0";"Third";"Queenstown";697;0;0;6.75;"No"
"range23 [17.730 - 18.528]";"M";"unknown";"0";"Third";"Southampton";701;0;0;8.6625;"No"
"range48 [37.688 - 38.487]";"M";"unknown";"0";"Third";"Southampton";702;0;0;8.6625;"No"
"range22 [16.932 - 17.730]";"M";"unknown";"0";"Third";"Southampton";703;0;0;8.6625;"No"
"range22 [16.932 - 17.730]";"M";"unknown";"0";"Third";"Southampton";704;0;0;8.6625;"No"
"range27 [20.923 - 21.722]";"M";"unknown";"0";"Third";"Queenstown";706;0;0;7.75;"No"
"range27 [20.923 - 21.722]";"M";"unknown";"0";"Third";"Southampton";707;0;0;8.05;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"Third";"Southampton";710;0;0;7.7958;"No"
"range30 [23.318 - 24.117]";"M";"unknown";"0";"Third";"Southampton";711;0;0;7.8542;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"Third";"Southampton";714;0;0;7.25;"No"
"range30 [23.318 - 24.117]";"M";"unknown";"0";"Third";"Southampton";715;0;0;8.05;"No"
"range27 [20.923 - 21.722]";"M";"unknown";"0";"Third";"Queenstown";716;0;0;7.7333;"No"
"range37 [28.907 - 29.705]";"M";"unknown";"0";"Third";"Southampton";718;0;0;8.05;"No"
"range33 [25.713 - 26.512]";"M";"unknown";"0";"Third";"Cherbourg";719;1;0;14.4542;"No"
"range23 [17.730 - 18.528]";"M";"unknown";"0";"Third";"Cherbourg";720;1;0;14.4542;"No"
"range25 [19.327 - 20.125]";"M";"unknown";"0";"Third";"Southampton";721;0;0;7.05;"No"
"range30 [23.318 - 24.117]";"M";"unknown";"0";"Third";"Queenstown";723;0;0;7.25;"No"
"range45 [35.293 - 36.092]";"M";"unknown";"0";"Third";"Southampton";724;0;0;7.4958;"No"
"range30 [23.318 - 24.117]";"M";"unknown";"0";"Third";"Southampton";725;0;0;7.4958;"No"
"range39 [30.503 - 31.302]";"M";"unknown";"0";"Third";"Queenstown";726;0;0;7.7333;"No"
"range39 [30.503 - 31.302]";"M";"unknown";"0";"Third";"Queenstown";727;0;0;7.75;"No"
"range89 [70.420 - 71.218]";"M";"unknown";"0";"Third";"Queenstown";730;0;0;7.75;"No"
"range54 [42.478 - 43.277]";"M";"unknown";"0";"Third";"Southampton";731;0;0;8.05;"No"
"range44 [34.495 - 35.293]";"M";"unknown";"0";"Third";"Southampton";732;0;0;7.8958;"No"
"range34 [26.512 - 27.310]";"M";"unknown";"0";"Third";"Southampton";733;0;0;7.8958;"No"
"range24 [18.528 - 19.327]";"M";"unknown";"0";"Third";"Southampton";734;0;0;7.8958;"No"
"range38 [29.705 - 30.503]";"M";"unknown";"0";"Third";"Southampton";735;0;0;8.05;"No"
"range74 [58.445 - 59.243]";"M";"unknown";"0";"Third";"Southampton";739;0;0;7.25;"No"
"range24 [18.528 - 19.327]";"M";"unknown";"0";"Third";"Southampton";740;0;0;8.1583;"No"
"range55 [43.277 - 44.075]";"M";"unknown";"0";"Third";"Southampton";742;0;1;16.1;"No"
"range22 [16.932 - 17.730]";"M";"unknown";"0";"Third";"Southampton";743;0;0;8.6625;"No"
"range28 [21.722 - 22.520]";"M";"unknown";"0";"Third";"Cherbourg";744;0;0;7.225;"No"
"range24 [18.528 - 19.327]";"M";"unknown";"0";"Third";"Southampton";747;0;0;10.1708;"No"
"range1 [-? - 0.965]";"M";"unknown";"0";"Third";"Southampton";750;0;2;14.4;"No"
"range43 [33.697 - 34.495]";"M";"unknown";"0";"Third";"Southampton";751;1;1;14.4;"No"
"range34 [26.512 - 27.310]";"M";"unknown";"0";"Third";"Southampton";753;0;0;7.8958;"No"
"range32 [24.915 - 25.713]";"M";"unknown";"0";"Third";"Southampton";754;0;0;7.8958;"No"
"range30 [23.318 - 24.117]";"M";"unknown";"0";"Third";"Southampton";755;2;0;24.15;"No"
"range28 [21.722 - 22.520]";"M";"unknown";"0";"Third";"Southampton";756;0;0;8.05;"No"
"range27 [20.923 - 21.722]";"M";"unknown";"0";"Third";"Southampton";757;2;0;24.15;"No"
"range22 [16.932 - 17.730]";"M";"unknown";"0";"Third";"Southampton";758;2;0;8.05;"No"
"range20 [15.335 - 16.133]";"M";"unknown";"0";"Third";"Southampton";764;0;0;9.5;"No"
"range33 [25.713 - 26.512]";"M";"unknown";"0";"Third";"Southampton";767;1;2;20.575;"No"
"range32 [24.915 - 25.713]";"M";"unknown";"0";"Third";"Southampton";769;0;0;7.8958;"No"
"range28 [21.722 - 22.520]";"M";"unknown";"0";"Third";"Southampton";772;0;0;7.25;"No"
"range45 [35.293 - 36.092]";"M";"unknown";"0";"Third";"Southampton";773;0;0;7.25;"No"
"range22 [16.932 - 17.730]";"M";"unknown";"0";"Third";"Southampton";775;0;0;7.8958;"No"
"range53 [41.680 - 42.478]";"M";"unknown";"0";"Third";"Southampton";776;0;0;8.6625;"No"
"range54 [42.478 - 43.277]";"M";"unknown";"0";"Third";"Southampton";777;0;0;7.8958;"No"
"range40 [31.302 - 32.100]";"M";"unknown";"0";"Third";"Queenstown";779;0;0;7.75;"No"
"range42 [32.898 - 33.697]";"M";"unknown";"0";"Third";"Cherbourg";784;0;0;7.8958;"No"
"range82 [64.832 - 65.630]";"M";"unknown";"0";"Third";"Queenstown";785;0;0;7.75;"No"
"range29 [22.520 - 23.318]";"M";"unknown";"0";"Third";"Southampton";787;1;0;13.9;"No"
"range23 [17.730 - 18.528]";"M";"unknown";"0";"Third";"Southampton";789;0;0;7.775;"No"
"range20 [15.335 - 16.133]";"M";"unknown";"0";"Third";"Southampton";790;0;0;7.775;"No"
"range57 [44.873 - 45.672]";"M";"unknown";"0";"Third";"Southampton";791;0;0;6.975;"No"
"range49 [38.487 - 39.285]";"M";"unknown";"0";"Third";"Cherbourg";793;0;2;7.2292;"No"
"range22 [16.932 - 17.730]";"M";"unknown";"0";"Third";"Cherbourg";794;1;1;7.2292;"No"
"range19 [14.537 - 15.335]";"M";"unknown";"0";"Third";"Cherbourg";795;1;1;7.2292;"No"
"range59 [46.470 - 47.268]";"M";"unknown";"0";"Third";"Southampton";796;0;0;7.25;"No"
"range51 [40.083 - 40.882]";"M";"unknown";"0";"Third";"Southampton";799;0;0;15.1;"No"
"range51 [40.083 - 40.882]";"M";"unknown";"0";"Third";"Queenstown";800;0;0;7.75;"No"
"range23 [17.730 - 18.528]";"M";"unknown";"0";"Third";"Southampton";802;0;0;7.7958;"No"
"range33 [25.713 - 26.512]";"M";"unknown";"0";"Third";"Queenstown";806;0;0;7.8792;"No"
"range23 [17.730 - 18.528]";"M";"unknown";"0";"Third";"Southampton";812;2;2;34.375;"No"
"range20 [15.335 - 16.133]";"M";"unknown";"0";"Third";"Southampton";813;1;3;34.375;"No"
"range32 [24.915 - 25.713]";"M";"unknown";"0";"Third";"Queenstown";817;0;0;7.7417;"No"
"range28 [21.722 - 22.520]";"M";"unknown";"0";"Third";"Southampton";820;0;0;8.05;"No"
"range42 [32.898 - 33.697]";"M";"unknown";"0";"Third";"Southampton";824;1;1;20.525;"No"
"range52 [40.882 - 41.680]";"M";"unknown";"0";"Third";"Southampton";825;0;0;7.85;"No"
"range48 [37.688 - 38.487]";"M";"unknown";"0";"Third";"Southampton";827;0;0;7.05;"No"
"range12 [8.948 - 9.747]";"M";"unknown";"0";"Third";"Southampton";828;5;2;46.9;"No"
"range2 [0.965 - 1.763]";"M";"unknown";"0";"Third";"Southampton";829;5;2;46.9;"No"
"range14 [10.545 - 11.343]";"M";"unknown";"0";"Third";"Southampton";830;5;2;46.9;"No"
"range18 [13.738 - 14.537]";"M";"unknown";"0";"Third";"Southampton";833;5;2;46.9;"No"
"range50 [39.285 - 40.083]";"M";"unknown";"0";"Third";"Southampton";834;1;6;46.9;"No"
"range64 [50.462 - 51.260]";"M";"unknown";"0";"Third";"Southampton";836;0;0;8.05;"No"
"range40 [31.302 - 32.100]";"M";"unknown";"0";"Third";"Southampton";837;0;0;8.3625;"No"
"range25 [19.327 - 20.125]";"M";"unknown";"0";"Third";"Southampton";839;0;0;9.8458;"No"
"range47 [36.890 - 37.688]";"M";"unknown";"0";"Third";"Southampton";840;2;0;7.925;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"Third";"Southampton";841;2;0;7.925;"No"
"range24 [18.528 - 19.327]";"M";"unknown";"0";"Third";"Southampton";842;0;0;7.775;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"Third";"Southampton";847;1;0;15.85;"No"
"range25 [19.327 - 20.125]";"M";"unknown";"0";"Third";"Southampton";849;0;0;9.5;"No"
"range30 [23.318 - 24.117]";"M";"unknown";"0";"Third";"Cherbourg";850;0;0;7.2292;"No"
"range52 [40.882 - 41.680]";"M";"unknown";"0";"Third";"Southampton";851;2;0;14.1083;"No"
"range33 [25.713 - 26.512]";"M";"unknown";"0";"Third";"Southampton";852;1;0;7.8542;"No"
"range27 [20.923 - 21.722]";"M";"unknown";"0";"Third";"Southampton";853;0;0;7.8542;"No"
"range32 [24.915 - 25.713]";"M";"unknown";"0";"Third";"Southampton";856;0;0;7.25;"No"
"range14 [10.545 - 11.343]";"M";"unknown";"0";"Third";"Cherbourg";858;0;0;18.7875;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"Third";"Southampton";866;0;0;7.8958;"No"
"range54 [42.478 - 43.277]";"M";"unknown";"0";"Third";"Southampton";871;0;0;6.45;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"Third";"Southampton";872;0;0;22.525;"No"
"range53 [41.680 - 42.478]";"M";"F G63";"0";"Third";"Southampton";876;0;0;7.65;"No"
"range38 [29.705 - 30.503]";"M";"unknown";"0";"Third";"Cherbourg";878;0;0;7.2292;"No"
"range25 [19.327 - 20.125]";"M";"unknown";"0";"Third";"Southampton";886;0;0;7.8542;"No"
"range60 [47.268 - 48.067]";"M";"unknown";"0";"Third";"Southampton";887;0;0;7.8542;"No"
"range22 [16.932 - 17.730]";"M";"unknown";"0";"Third";"Southampton";888;1;0;7.0542;"No"
"range43 [33.697 - 34.495]";"M";"unknown";"0";"Third";"Southampton";891;0;0;6.4958;"No"
"range28 [21.722 - 22.520]";"M";"unknown";"0";"Third";"Southampton";893;0;0;7.7958;"No"
"range42 [32.898 - 33.697]";"M";"unknown";"0";"Third";"Southampton";894;0;0;8.6542;"No"
"range39 [30.503 - 31.302]";"M";"unknown";"0";"Third";"Southampton";895;0;0;7.775;"No"
"range37 [28.907 - 29.705]";"M";"unknown";"0";"Third";"Southampton";896;0;0;7.8542;"No"
"range62 [48.865 - 49.663]";"M";"unknown";"0";"Third";"Southampton";899;0;0;0.0;"No"
"range42 [32.898 - 33.697]";"M";"unknown";"0";"Third";"Southampton";900;0;0;7.775;"No"
"range24 [18.528 - 19.327]";"M";"unknown";"0";"Third";"Southampton";901;0;0;0.0;"No"
"range29 [22.520 - 23.318]";"M";"unknown";"0";"Third";"Southampton";907;0;0;7.8958;"No"
"range34 [26.512 - 27.310]";"M";"unknown";"0";"Third";"Southampton";909;0;0;7.8542;"No"
"range22 [16.932 - 17.730]";"M";"unknown";"0";"Third";"Southampton";913;0;0;7.125;"No"
"range27 [20.923 - 21.722]";"M";"unknown";"0";"Third";"Southampton";914;0;0;8.4333;"No"
"range38 [29.705 - 30.503]";"M";"unknown";"0";"Third";"Southampton";915;0;0;7.8958;"No"
"range42 [32.898 - 33.697]";"M";"unknown";"0";"Third";"Southampton";917;0;0;7.8542;"No"
"range28 [21.722 - 22.520]";"M";"unknown";"0";"Third";"Southampton";918;0;0;7.5208;"No"
"range23 [17.730 - 18.528]";"M";"unknown";"0";"Third";"Cherbourg";922;0;0;7.2292;"No"
"range44 [34.495 - 35.293]";"M";"unknown";"0";"Third";"Queenstown";927;0;0;7.8292;"No"
"range55 [43.277 - 44.075]";"M";"unknown";"0";"Third";"Southampton";928;0;0;8.05;"No"
"range33 [25.713 - 26.512]";"M";"unknown";"0";"Third";"Southampton";936;2;0;8.6625;"No"
"range23 [17.730 - 18.528]";"M";"unknown";"0";"Third";"Southampton";941;1;1;7.8542;"No"
"range37 [28.907 - 29.705]";"M";"unknown";"0";"Third";"Southampton";953;0;0;9.4833;"No"
"range37 [28.907 - 29.705]";"M";"unknown";"0";"Third";"Southampton";954;0;0;7.775;"No"
"range28 [21.722 - 22.520]";"M";"unknown";"0";"Third";"Southampton";955;0;0;7.775;"No"
"range40 [31.302 - 32.100]";"M";"unknown";"0";"Third";"Southampton";962;0;0;7.925;"No"
"range44 [34.495 - 35.293]";"M";"unknown";"0";"Third";"Cherbourg";963;0;0;6.4375;"No"
"range45 [35.293 - 36.092]";"M";"unknown";"0";"Third";"Southampton";966;0;0;0.0;"No"
"range49 [38.487 - 39.285]";"M";"unknown";"0";"Third";"Southampton";967;0;0;24.15;"No"
"range30 [23.318 - 24.117]";"M";"unknown";"0";"Third";"Southampton";968;0;0;9.5;"No"
"range45 [35.293 - 36.092]";"M";"unknown";"0";"Third";"Southampton";971;1;0;15.55;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"Third";"Southampton";975;0;0;56.4958;"No"
"range38 [29.705 - 30.503]";"M";"unknown";"0";"Third";"Southampton";977;1;0;16.1;"No"
"range26 [20.125 - 20.923]";"M";"unknown";"0";"Third";"Southampton";980;0;0;7.25;"No"
"range64 [50.462 - 51.260]";"M";"unknown";"0";"Third";"Southampton";982;0;0;7.0542;"No"
"range28 [21.722 - 22.520]";"M";"unknown";"0";"Third";"Southampton";989;0;0;7.125;"No"
"range37 [28.907 - 29.705]";"M";"unknown";"0";"Third";"Southampton";993;0;0;7.925;"No"
"range44 [34.495 - 35.293]";"M";"unknown";"0";"Third";"Cherbourg";998;0;0;7.8958;"No"
"range42 [32.898 - 33.697]";"M";"unknown";"0";"Third";"Southampton";999;0;0;7.8958;"No"
"range30 [23.318 - 24.117]";"M";"unknown";"0";"Third";"Southampton";1013;1;0;16.1;"No"
"range70 [55.252 - 56.050]";"M";"unknown";"0";"Third";"Southampton";1018;0;0;8.05;"No"
"range30 [23.318 - 24.117]";"M";"unknown";"0";"Third";"Southampton";1022;0;0;7.8958;"No"
"range27 [20.923 - 21.722]";"M";"unknown";"0";"Third";"Southampton";1023;0;0;7.8958;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"Third";"Southampton";1024;0;0;7.8958;"No"
"range32 [24.915 - 25.713]";"M";"F G73";"0";"Third";"Southampton";1027;0;0;7.65;"No"
"range43 [33.697 - 34.495]";"M";"unknown";"0";"Third";"Southampton";1034;0;0;8.05;"No"
"range23 [17.730 - 18.528]";"M";"unknown";"0";"Third";"Southampton";1048;0;0;7.75;"No"
"range28 [21.722 - 22.520]";"M";"unknown";"0";"Third";"Southampton";1049;0;0;7.8958;"No"
"range42 [32.898 - 33.697]";"M";"unknown";"0";"Third";"Southampton";1054;0;0;8.05;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"Third";"Southampton";1062;0;0;8.05;"No"
"range27 [20.923 - 21.722]";"M";"unknown";"0";"Third";"Southampton";1065;0;0;7.8542;"No"
"range52 [40.882 - 41.680]";"M";"unknown";"0";"Third";"Southampton";1066;0;0;7.125;"No"
"range27 [20.923 - 21.722]";"M";"unknown";"0";"Third";"Southampton";1068;0;0;7.8;"No"
"range36 [28.108 - 28.907]";"M";"unknown";"0";"Third";"Cherbourg";1069;0;0;7.2292;"No"
"range77 [60.840 - 61.638]";"M";"unknown";"0";"Third";"Southampton";1071;0;0;6.2375;"No"
"range29 [22.520 - 23.318]";"M";"unknown";"0";"Third";"Southampton";1078;0;0;9.225;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"Third";"Southampton";1086;0;0;22.525;"No"
"range53 [41.680 - 42.478]";"M";"unknown";"0";"Third";"Southampton";1087;0;1;8.4042;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"Third";"Southampton";1090;0;0;7.8542;"No"
"range25 [19.327 - 20.125]";"M";"unknown";"0";"Third";"Southampton";1092;0;0;9.225;"No"
"range25 [19.327 - 20.125]";"M";"unknown";"0";"Third";"Southampton";1095;0;0;8.6625;"No"
"range20 [15.335 - 16.133]";"M";"unknown";"0";"Third";"Southampton";1096;0;0;9.2167;"No"
"range3 [1.763 - 2.562]";"M";"unknown";"0";"Third";"Southampton";1099;3;1;21.075;"No"
"range8 [5.755 - 6.553]";"M";"unknown";"0";"Third";"Southampton";1100;3;1;21.075;"No"
"range2 [0.965 - 1.763]";"M";"unknown";"0";"Third";"Southampton";1104;4;1;39.6875;"No"
"range9 [6.553 - 7.352]";"M";"unknown";"0";"Third";"Southampton";1105;4;1;39.6875;"No"
